first stage decision,expected second stage value,feasibility
[1 0 0 0 0 0 1 1 1 0],23.510008272598867,1
[0 1 1 0 1 0 1 0 0 0],29.95484879002879,1
[1 0 0 1 0 1 1 0 1 1],19.295408945693417,1
[1 0 1 1 1 1 0 1 1 0],20.310028538924534,1
[1 1 1 1 1 0 1 0 1 0],20.320151286289065,1
[1 0 1 0 0 0 1 1 0 1],24.942715989298172,1
[0 0 0 1 0 0 0 1 0 0],0.0,0
[0 1 0 0 0 1 0 0 0 1],29.69477834074514,1
[1 1 0 0 0 0 0 1 1 0],24.793361272940594,1
[0 1 1 1 1 1 1 1 0 0],24.78290274635871,1
[1 0 0 1 1 1 0 1 1 0],21.241803274382654,1
[1 1 1 1 1 1 0 1 0 0],24.507259877306332,1
[0 1 1 0 1 0 0 1 1 0],21.546199749916088,1
[1 0 1 1 0 0 0 1 1 1],19.802663786768967,1
[0 0 0 1 0 1 1 1 1 1],19.69642475428621,1
[1 0 0 0 1 0 0 1 0 1],0.0,0
[1 1 0 0 1 0 1 0 0 0],45.908809437415385,1
[0 0 0 1 0 1 1 1 1 0],21.629141421797904,1
[0 1 0 1 1 0 0 0 0 0],0.0,0
[0 0 0 0 1 0 1 1 1 1],19.297186910611764,1
[1 0 0 0 1 0 0 0 0 0],0.0,0
[1 0 0 1 1 0 1 1 0 0],27.12969176309226,1
[1 1 0 0 0 0 1 1 0 0],29.56227214108133,1
[0 0 1 1 1 0 0 1 1 1],18.405134281115014,1
[1 0 1 0 1 1 1 1 1 1],17.39000646174397,1
[0 1 0 1 0 1 0 1 0 0],28.571441771596533,1
[0 1 1 1 1 1 1 1 1 1],16.679906028297676,1
[0 1 0 1 0 0 0 0 1 0],57.1317261455089,1
[0 1 1 1 0 0 1 0 0 0],30.12628300650992,1
[1 1 1 0 0 0 1 1 0 1],22.66024455131619,1
[1 0 1 0 1 1 0 1 0 1],24.143760245220758,1
[1 0 0 0 0 1 1 0 1 1],22.432471585093744,1
[0 0 1 1 0 0 1 1 1 1],18.796054464866458,1
[0 0 0 1 1 1 0 1 0 1],29.00362990025938,1
[0 0 1 0 0 1 0 1 1 0],24.915128728263674,1
[1 1 1 0 1 0 0 1 1 0],21.078221281189954,1
[0 0 0 1 0 0 1 0 1 0],27.554826969352458,1
[1 0 0 0 0 1 1 1 1 0],22.773722561915825,1
[1 0 0 0 1 1 1 0 0 0],0.0,0
[1 1 0 1 1 1 1 1 1 1],17.60982535127102,1
[0 0 0 1 1 1 0 1 0 0],32.37939477290835,1
[1 1 1 1 0 0 1 0 0 1],22.094508167726808,1
[1 1 0 1 1 1 1 0 0 0],26.291598197936917,1
[1 1 0 1 1 0 0 0 1 0],28.343588791491044,1
[1 0 0 1 1 1 0 0 0 1],24.44509087440712,1
[0 0 0 1 0 1 1 1 0 0],32.444917466032265,1
[0 1 1 0 1 0 0 0 0 1],25.55744604095917,1
[0 1 0 0 0 0 0 1 0 1],27.85853692520929,1
[0 1 0 1 1 1 0 0 1 0],24.072021945252484,1
[1 0 1 1 0 0 1 1 1 1],18.388110431405703,1
[1 1 0 1 1 0 0 1 1 0],21.335030106288325,1
[1 0 1 0 1 0 0 0 0 0],0.0,0
[0 1 0 0 0 1 1 0 0 0],37.76416875508551,1
[0 0 1 1 1 1 1 0 0 0],30.20406454129011,1
[0 0 0 1 1 0 1 1 1 0],20.213157650400046,1
[1 1 1 1 0 0 0 0 1 0],23.651797618912898,1
[0 0 1 1 1 0 0 1 0 1],29.403058359877292,1
[0 0 1 0 0 1 0 1 0 1],33.96793133333476,1
[1 0 1 0 0 0 1 0 0 0],32.15001122020636,1
[0 1 1 0 1 0 1 1 1 0],19.77561776902287,1
[0 1 0 1 0 1 0 0 0 1],26.095069140507928,1
[1 1 0 0 1 1 0 1 1 0],22.79349229181131,1
[0 1 0 0 0 0 0 0 0 0],0.0,0
[0 0 0 1 1 0 0 0 0 0],0.0,0
[1 1 1 1 0 0 1 1 0 0],25.335840975251024,1
[1 0 1 0 0 0 0 1 0 1],29.351327183636435,1
[0 1 1 1 0 0 0 1 1 0],21.99669558608789,1
[1 0 1 0 1 0 1 1 0 0],26.69411913512322,1
[0 0 1 1 0 1 0 1 0 0],37.29817649924071,1
[0 0 0 0 0 1 0 1 1 0],27.06027655311441,1
[0 0 1 1 1 0 0 0 1 1],18.447060965672815,1
[0 1 0 1 1 0 1 1 0 0],27.38237414894416,1
[0 1 1 1 1 0 1 0 0 1],22.994202387772155,1
[0 1 1 0 0 0 0 1 0 1],26.041528163385625,1
[0 1 1 0 0 1 0 0 1 0],25.19588497563135,1
[0 1 1 0 1 0 1 1 0 1],23.559938771361534,1
[1 0 1 1 0 1 0 0 0 1],27.896416903878436,1
[1 0 0 0 0 0 0 1 0 1],0.0,0
[0 1 0 1 0 1 1 1 1 1],18.706647829807725,1
[0 0 0 0 1 1 1 1 1 0],21.261892748147226,1
[1 1 1 0 1 0 1 0 0 1],21.86787395974394,1
[1 0 0 0 1 1 1 1 1 0],21.092365981532126,1
[0 0 0 1 1 0 1 0 1 1],17.789395421610248,1
[1 0 1 1 1 0 1 0 1 0],20.457697906368274,1
[1 1 1 0 0 1 0 0 1 1],19.839820166121065,1
[0 1 1 0 1 1 0 0 0 0],29.614758375540966,1
[0 1 0 0 1 1 0 1 0 1],26.50708080822041,1
[1 1 0 0 0 0 0 1 1 1],21.449424268020135,1
[0 1 0 1 0 1 0 0 1 1],19.92694006826675,1
[1 1 0 0 1 1 0 0 0 1],26.49894338515918,1
[1 1 1 1 1 0 1 1 1 1],16.683672481865404,1
[1 0 0 0 1 0 1 0 0 1],67.67523132370998,1
[1 1 1 0 0 0 0 1 0 1],24.046866877288352,1
[1 1 1 0 0 0 1 0 0 1],22.962841025795864,1
[0 0 1 0 0 0 1 0 0 0],38.917666558701725,1
[1 0 0 0 0 0 1 1 0 0],0.0,0
[0 1 0 0 1 0 0 1 1 0],25.140287129378844,1
[1 0 1 1 0 1 1 1 1 1],18.36334825457617,1
[1 0 0 1 1 1 0 0 1 0],23.714185862953585,1
[1 1 0 1 1 0 1 0 1 1],17.61602998282574,1
[0 1 0 1 0 0 1 1 0 0],28.487045600240105,1
[1 0 0 0 0 1 1 1 0 1],26.477704669556754,1
[1 0 0 0 1 0 0 1 1 1],20.44536057288195,1
[1 1 0 1 0 1 0 0 0 1],24.10040785441066,1
[1 0 1 1 1 1 1 1 0 0],24.034619677518315,1
[0 1 0 0 0 1 0 0 1 0],36.128509483599025,1
[1 1 0 1 1 0 0 1 0 1],23.241840942960636,1
[0 0 0 1 0 1 0 1 0 0],0.0,0
[1 1 1 0 0 1 1 0 0 0],26.39074588056361,1
[0 1 0 0 0 0 1 0 1 0],40.446738901760895,1
[0 1 1 1 1 0 0 1 1 1],18.009490389648764,1
[0 0 1 0 0 0 1 0 0 1],31.4041321778784,1
[1 1 0 1 1 1 1 0 1 1],17.60982535127102,1
[0 1 1 0 1 1 0 1 1 1],18.52677071066103,1
